"FEE_KEY","FEE_VALUE","FEE_ORDER"
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970448-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970448-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970448-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970448-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970458-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970458-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970458-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970458-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970458-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970458-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970459-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970459-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970459-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970459-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970459-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970459-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970466-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970466-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970466-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970466-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970466-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970466-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970468-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970468-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970468-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970468-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970468-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970468-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","970488-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","970488-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","970488-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","970488-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","970488-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","970488-130020-704-6011-91",1.000000
"10AF1084-ACFE-AEC1-E063-45FE020A47B0","981957-130004-704-6011-91",1.000000
"10AF1084-AD00-AEC1-E063-45FE020A47B0","981957-130006-704-6011-91",1.000000
"10AF1084-AD08-AEC1-E063-45FE020A47B0","981957-130015-704-6011-91",1.000000
"10AF1084-AD09-AEC1-E063-45FE020A47B0","981957-130016-704-6011-91",1.000000
"10AF1084-AD0A-AEC1-E063-45FE020A47B0","981957-130017-704-6011-91",1.000000
"10AF1084-ACFB-AEC1-E063-45FE020A47B0","981957-130020-704-6011-91",1.000000
