TIDB,,,,ORA,,,,Compare
trace,ISSUER_FE,SEQUENCE_IN_MONTH,,TRACE,ISSUER_FE,SEQUENCE_IN_MONTH,,
2286759,130017,11058,,2286759,130017,11058,,0
2291484,130017,10993,,2291484,130017,10993,,0
2292389,130017,11127,,2292389,130017,11127,,0
2294055,980478,,,2294055,980478,,,0
2294961,130017,10962,,2294961,130017,10962,,0
2299678,130017,11064,,2299678,130017,11064,,0
2302164,130017,11084,,2302164,130017,11084,,0
2303358,130017,11205,,2303358,130017,11205,,0
2303432,130017,11219,,2303432,130017,11219,,0
2307963,130017,11030,,2307963,130017,11030,,0
2313224,130017,11185,,2313224,130017,11185,,0
2318248,130017,10965,,2318248,130017,10965,,0
2323607,130017,11091,,2323607,130017,11091,,0
2324447,130017,397,,2324447,130017,397,,0
2325442,130017,11159,,2325442,130017,11159,,0
2326696,130017,11051,,2326696,130017,11051,,0
2327210,130017,11053,,2327210,130017,11053,,0
2327685,130017,11190,,2327685,130017,11190,,0
2330631,130017,11094,,2330631,130017,11094,,0
2331918,130017,11024,,2331918,130017,11024,,0
2332152,130017,11060,,2332152,130017,11060,,0
2335874,130017,11119,,2335874,130017,11119,,0
2341467,130017,11089,,2341467,130017,11089,,0
2344414,130017,11014,,2344414,130017,11014,,0
2345809,130017,10967,,2345809,130017,10967,,0
2346667,130017,11264,,2346667,130017,11264,,0
2348485,130017,11227,,2348485,130017,11227,,0
2351315,130017,11273,,2351315,130017,11273,,0
2352690,130017,10986,,2352690,130017,10986,,0
2353920,130017,11150,,2353920,130017,11150,,0
2354995,130017,10955,,2354995,130017,10955,,0
2357112,130017,11218,,2357112,130017,11218,,0
2360452,130017,11056,,2360452,130017,11056,,0
2365594,130017,11086,,2365594,130017,11086,,0
2366797,130017,11217,,2366797,130017,11217,,0
2367217,130017,11104,,2367217,130017,11104,,0
2370753,130017,11118,,2370753,130017,11118,,0
2372101,130017,11167,,2372101,130017,11167,,0
2376978,130017,10947,,2376978,130017,10947,,0
2378946,130017,10959,,2378946,130017,10959,,0
2379688,130017,11146,,2379688,130017,11146,,0
2380702,130017,10981,,2380702,130017,10981,,0
2384430,130017,520,,2384430,130017,520,,0
2389635,130017,11256,,2389635,130017,11256,,0
2391470,130017,526,,2391470,130017,526,,0
2391471,130017,528,,2391471,130017,528,,0
2392444,130017,524,,2392444,130017,524,,0
2392445,130017,525,,2392445,130017,525,,0
2392448,130017,527,,2392448,130017,527,,0
2392458,130017,529,,2392458,130017,529,,0
2392460,130017,530,,2392460,130017,530,,0
2392463,130017,531,,2392463,130017,531,,0
2393618,130017,11189,,2393618,130017,11189,,0
2398534,130017,10996,,2398534,130017,10996,,0
2411027,130017,10966,,2411027,130017,10966,,0
2417822,130017,11174,,2417822,130017,11174,,0
2417963,130017,11265,,2417963,130017,11265,,0
2418752,130017,11123,,2418752,130017,11123,,0
2423878,130017,11012,,2423878,130017,11012,,0
2426154,130017,11141,,2426154,130017,11141,,0
2427438,130017,11269,,2427438,130017,11269,,0
2429201,130017,215,,2429201,130017,215,,0
2429202,130017,217,,2429202,130017,217,,0
2429203,130017,218,,2429203,130017,218,,0
2429204,130017,219,,2429204,130017,219,,0
2429205,130017,220,,2429205,130017,220,,0
2429210,130017,221,,2429210,130017,221,,0
2429215,130017,222,,2429215,130017,222,,0
2429242,130017,223,,2429242,130017,223,,0
2429255,130017,224,,2429255,130017,224,,0
2430876,130017,11131,,2430876,130017,11131,,0
2436034,130017,11220,,2436034,130017,11220,,0
2439380,130017,11072,,2439380,130017,11072,,0
2440461,130017,11221,,2440461,130017,11221,,0
2440723,130017,11225,,2440723,130017,11225,,0
2446282,130017,11128,,2446282,130017,11128,,0
2449629,130017,11078,,2449629,130017,11078,,0
2461528,130017,11237,,2461528,130017,11237,,0
2465992,130017,10949,,2465992,130017,10949,,0
2468543,130017,10960,,2468543,130017,10960,,0
