"ISSUER_RP","ISSUER_RP","FEE_PACKAGE_TYPE","INS_TYPE_FEE"
888999.000000,888999.000000,,
888999.000000,888999.000000,,
888999.000000,888999.000000,,
970406.000000,970406.000000,G2_2022,
970406.000000,970406.000000,G2_2022,
970412.000000,970412.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970422.000000,970422.000000,G2_2022,
970433.000000,970433.000000,,
970442.000000,970442.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
970443.000000,970443.000000,,
