TRACE,ISSUER_FE,SEQUENCE_IN_MONTH
2789335,130017,11029
2796033,130017,11103
2797997,130017,11088
2798175,130017,11184
2798630,130017,11132
2799534,130017,11229
2804888,130017,11230
2805544,130017,11133
2809838,130017,11010
2810386,130017,11222
2819730,130017,11244
2824627,130017,11122
2827672,130017,11192
2828483,130017,11262
2829144,130017,11199
2833555,130017,10958
2834565,130017,11155
2846472,130017,10982
2847684,130017,11181
2848418,130017,11204
2849080,130017,10988
2851696,130017,10954
2854308,130017,10970
2854534,130017,11272
2862276,130017,10948
2862606,130017,10992
2865990,130017,11043
2866967,130017,11238
2869173,130017,11182
2871057,980478,
2871890,130017,11175
2873383,130017,10974
2881770,130017,11253
2885911,130017,11032
2887209,130017,11157
2887273,130017,11177
2896147,130017,11142
2899603,130017,11005
2905189,130017,11009
2910060,130017,11112
2912236,130017,11038
2916034,980478,
2916035,980478,
2916036,980478,
2917945,130017,11077
2918232,130017,11134
2918991,130017,11085
2921415,130017,11260
2922832,130017,11044
2924098,130017,11223
2928814,130017,11042
2929623,130017,11275
2930059,130017,11126
2930064,130017,11232
2931160,130017,11111
2934410,130017,11197
2936308,130017,11258
2937529,130017,10998
2939847,130017,10984
2940134,130017,10980
2941645,980478,
2942972,130017,11116
2943621,130017,11100
2948830,130017,11173
2953804,130017,216
2954124,130017,11137
2955029,130017,11028
2956906,130017,10976
2957100,130017,11097
2959615,130017,11138
2960123,130017,11160
2961272,980478,
2966391,130017,11096
2969451,130017,11234
2971240,130017,11254
2973620,130017,11153
2976127,130017,11076
2976267,130017,11143
2976739,130017,11194
2978437,130017,10968
2980731,130017,11241
2985352,130020,188
2986766,130017,519
2987799,130017,11098
2999203,130017,11207
