"ISSUER_RP","ISSUER","FEE_PACKAGE_TYPE","INS_TYPE_FEE"
980478,970412,G2_2022,
980478,970412,G2_2022,
980478,970412,G2_2022,
980478,970412,G2_2022,
980478,970412,G2_2022,
980478,970412,G2_2022,
980478,970418,,
980478,970418,,
980478,970418,,
980478,970421,,
980478,970421,,
980478,970421,,
980478,970421,,
980478,970423,G2_2022,
980478,970425,,
980478,970425,,
980478,970425,,
980478,970437,,
980478,970437,,
980478,970437,,
980478,970438,,
980478,970438,,
981957,970432,,
981957,970432,,
